TOA;Oil;MIBK;Temperature;Percentage;Aycicek;Misir;Keten;Badem;Susam;Hint;Citric;Glycolic;Malic
1.5;1.5;0;0.25;0.9231;0;0;1;0;0;0;0;0;1
1.5;1.5;0;0.25;0.9203;0;0;0;1;0;0;0;0;1
1.5;1.5;0;0.25;0.9211;0;0;0;0;1;0;0;0;1
1.5;1.5;0;0.25;0.9592;0;0;0;0;0;1;0;0;1
1.5;1.5;0;0.4;0.8614;1;0;0;0;0;0;0;0;1
1.5;1.5;0;0.4;0.8512;0;1;0;0;0;0;0;0;1
1.5;1.5;0;0.4;0.8542;0;0;1;0;0;0;0;0;1
1.5;1.5;0;0.4;0.8945;0;0;0;1;0;0;0;0;1
1.5;1.5;0;0.4;0.8587;0;0;0;0;1;0;0;0;1
1.5;1.5;0;0.4;0.9274;0;0;0;0;0;1;0;0;1
